Date,Price,Open,High,Low,Vol.,Change %
3/7/2023,1487.00,1487.00,1487.00,1487.00,,0.00
3/6/2023,1485.00,1485.00,1485.00,1485.00,,0.00
3/3/2023,1483.00,1483.00,1483.00,1483.00,,0.01
3/2/2023,1472.00,1472.00,1472.00,1472.00,,0.01
3/1/2023,1455.00,1455.00,1455.00,1455.00,,0.03
2/28/2023,1414.00,1414.00,1414.00,1414.00,,0.04
2/27/2023,1363.00,1363.00,1363.00,1363.00,,0.02
2/24/2023,1338.00,1338.00,1338.00,1338.00,,0.01
2/23/2023,1324.00,1324.00,1324.00,1324.00,,0.02
2/22/2023,1304.00,1304.00,1304.00,1304.00,,0.00
2/21/2023,1306.00,1306.00,1306.00,1306.00,,0.02
2/20/2023,1278.00,1278.00,1278.00,1278.00,,0.01
2/17/2023,1261.00,1261.00,1261.00,1261.00,,0.01
2/16/2023,1244.00,1244.00,1244.00,1244.00,,0.03
2/15/2023,1212.00,1212.00,1212.00,1212.00,,0.01
2/14/2023,1203.00,1203.00,1203.00,1203.00,,0.00
2/13/2023,1204.00,1204.00,1204.00,1204.00,,0.00
2/10/2023,1206.00,1206.00,1206.00,1206.00,,0.00
2/9/2023,1205.00,1205.00,1205.00,1205.00,,-0.01
2/8/2023,1213.00,1213.00,1213.00,1213.00,,0.00
2/7/2023,1218.00,1218.00,1218.00,1218.00,,0.00
2/6/2023,1224.00,1224.00,1224.00,1224.00,,-0.01
2/3/2023,1239.00,1239.00,1239.00,1239.00,,-0.01
2/2/2023,1256.00,1256.00,1256.00,1256.00,,0.00
2/1/2023,1260.00,1260.00,1260.00,1260.00,,-0.01
1/31/2023,1275.00,1275.00,1275.00,1275.00,,-0.02
1/30/2023,1302.00,1302.00,1302.00,1302.00,,-0.02
1/27/2023,1323.00,1323.00,1323.00,1323.00,,-0.01
1/26/2023,1336.00,1336.00,1336.00,1336.00,,-0.01
1/25/2023,1353.00,1353.00,1353.00,1353.00,,-0.02
1/24/2023,1384.00,1384.00,1384.00,1384.00,,-0.02
1/23/2023,1411.00,1411.00,1411.00,1411.00,,0.00
1/20/2023,1415.00,1415.00,1415.00,1415.00,,0.00
